template_code,dish_name,source_page,author,license,license_url,download_url,local_file_name
"DISH_011","京酱肉丝","https://commons.wikimedia.org/wiki/File%3AJing_Jiang_Rou_Si_01.jpg","gigijin","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Jing_Jiang_Rou_Si_01.jpg/960px-Jing_Jiang_Rou_Si_01.jpg","dish-011.jpg"
"DISH_012","尖椒炒肉","https://commons.wikimedia.org/wiki/File%3ADish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","Smuconlaw.","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg/960px-Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","dish-012.jpg"
"DISH_013","蒜薹炒肉","https://commons.wikimedia.org/wiki/File%3ADish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","Smuconlaw.","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg/960px-Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","dish-013.jpg"
"DISH_014","芹菜炒肉","https://commons.wikimedia.org/wiki/File%3A2%E6%9C%885%E6%97%A5_%E8%A3%9C%E7%9A%84%E5%B9%B4%E5%A4%9C%E9%A3%AF.jpg","Singzy","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/2%E6%9C%885%E6%97%A5_%E8%A3%9C%E7%9A%84%E5%B9%B4%E5%A4%9C%E9%A3%AF.jpg/960px-2%E6%9C%885%E6%97%A5_%E8%A3%9C%E7%9A%84%E5%B9%B4%E5%A4%9C%E9%A3%AF.jpg","dish-014.jpg"
"DISH_015","洋葱炒肉","https://commons.wikimedia.org/wiki/File%3ADish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","Smuconlaw.","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg/960px-Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","dish-015.jpg"
"DISH_016","莴笋炒肉","https://commons.wikimedia.org/wiki/File%3ADish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","Smuconlaw.","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg/960px-Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","dish-016.jpg"
"DISH_017","白菜炒肉","https://commons.wikimedia.org/wiki/File%3AFood_%E8%B1%AC%E8%A1%80%E6%B9%AF%2C_%E9%AD%AF%E7%99%BD%E8%8F%9C%2C_%E9%AD%AF%E8%B1%86%E7%9A%AE%2C_%E9%AD%AF%E8%9B%8B%2C_%E8%85%BF%E5%BA%AB%E8%82%89%2C_%E9%AD%AF%E8%82%89%E9%A3%AF%2C_%E6%96%B0%E7%AB%B9%E7%82%92%E7%B1%B3%E7%B2%89%2C_%E5%A4%A7%E8%85%B8%E5%88%87%E7%9B%A4%2C_%E5%A4%A7%E9%BC%8E%E8%B1%AC%E8%A1%80%E6%B9%AF%2C_%E5%8F%B0%E5%8C%97_(13899976038).jpg","bryan... from Taipei, Taiwan","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Food_%E8%B1%AC%E8%A1%80%E6%B9%AF%2C_%E9%AD%AF%E7%99%BD%E8%8F%9C%2C_%E9%AD%AF%E8%B1%86%E7%9A%AE%2C_%E9%AD%AF%E8%9B%8B%2C_%E8%85%BF%E5%BA%AB%E8%82%89%2C_%E9%AD%AF%E8%82%89%E9%A3%AF%2C_%E6%96%B0%E7%AB%B9%E7%82%92%E7%B1%B3%E7%B2%89%2C_%E5%A4%A7%E8%85%B8%E5%88%87%E7%9B%A4%2C_%E5%A4%A7%E9%BC%8E%E8%B1%AC%E8%A1%80%E6%B9%AF%2C_%E5%8F%B0%E5%8C%97_%2813899976038%29.jpg/960px-Food_%E8%B1%AC%E8%A1%80%E6%B9%AF%2C_%E9%AD%AF%E7%99%BD%E8%8F%9C%2C_%E9%AD%AF%E8%B1%86%E7%9A%AE%2C_%E9%AD%AF%E8%9B%8B%2C_%E8%85%BF%E5%BA%AB%E8%82%89%2C_%E9%AD%AF%E8%82%89%E9%A3%AF%2C_%E6%96%B0%E7%AB%B9%E7%82%92%E7%B1%B3%E7%B2%89%2C_%E5%A4%A7%E8%85%B8%E5%88%87%E7%9B%A4%2C_%E5%A4%A7%E9%BC%8E%E8%B1%AC%E8%A1%80%E6%B9%AF%2C_%E5%8F%B0%E5%8C%97_%2813899976038%29.jpg","dish-017.jpg"
"DISH_018","香菇炒鸡","https://commons.wikimedia.org/wiki/File%3ADish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","Smuconlaw.","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg/960px-Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","dish-018.jpg"
"DISH_019","黄焖鸡","https://commons.wikimedia.org/wiki/File%3ABraised_chicken.jpg","ZZArch","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Braised_chicken.jpg/960px-Braised_chicken.jpg","dish-019.jpg"
"DISH_020","可乐鸡翅","https://commons.wikimedia.org/wiki/File%3A%E5%8F%AF%E4%B9%90%E9%B8%A1%E7%BF%85.jpg","Wuzhiya","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://upload.wikimedia.org/wikipedia/commons/4/43/%E5%8F%AF%E4%B9%90%E9%B8%A1%E7%BF%85.jpg","dish-020.jpg"
